assessmentId,internalTaxonId,scientificName,LiteratureMass,MassMesurement,MassSource,Remove,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,citation,uncertainty,specificity,population,populationTrend,negation,SuperArchipelago,Archipelago,ArchipelagoPreviouslyInhabited,ArchipelagoColonised,Location,LocationColonised,LocationPreviouslyInhabited,WeigeltID,Mass,NewColony,Island,LakeSpring ,range,useTrade,systems,conservationActions,realm,yearLastSeen,yearLastSeen_cleaned,possiblyExtinct,possiblyExtinctInTheWild,scopes,z,scientificName_1,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes,Edit notes,References,GBIFSpecies,Genus,Mass_mean,Mass_sources,Genus_1,Genus_mass_mean,Genus_mass_sources,Mean_Body_Mass_Heinen_gram,EstimatedMass,colonised,isisland,wasuninhabited,Long,Lat,CountryISO,Country,Archip,Island_1,Gazetteer,Name_ID,Name_long,Name_lat,No_names,Name_dist,Name_meth,Name_alt,Area,Dist,SLMP,GMMC,Elev,Temp,varT,CCVT,Prec,varP,SRML,SR_GAM,SR_SE_GAM,SR_GLM,SR_SE_GLM,Buffer,Modeled_T,PAMnAE,PAMall,PAMclim,PAMgeo,UPGMAnoAE,UPGMAall,UPGMAclim,UPGMAgeo,PCAnEAPC1,PCAnEAPC2,PCAnEAPC3,PCAnEAPC4,PCAnEAPC5,PCAnEAPC6,PCAnEAPC7,PCAnEAPC8,PCAallPC1,PCAallPC2,PCAallPC3,PCAallPC4,PCAallPC5,PCAallPC6,PCAallPC7,PCAallPC8,PCAallPC9,PCAallPC10,PCAcliPC1,PCAcliPC2,PCAcliPC3,PCAcliPC4,PCAgeoPC1,PCAgeoPC2,PCAgeoPC3,PCAgeoPC4,PCAgeoPC5
22205792,3121,Brotomys voratus,,,,,Extinct,,2016,2016-06-10 00:00:00 UTC,3.1,English,"Listed as Extinct. This species went extinct soon after European arrival. This species is also known from relatively recent fossil remains, some of which have been dated to the modern historical era.",Not known.,Driven to extinction by introduced rats. Was hunted by Arawak Indians prior to European arrival.,No,No,5 Specific description,Extinct.,,,West Indies,West Indies,Yes,1492,Hispaniola,1493,Yes,0,272.28,Yes,Yes,,This species was known from Hispaniola (Turvey 2009). The only report of this species is from Gonzalo Fernandez de Oviedo y Valdez who lived on the island from 1536 to 1546 and documented an animal called the Mohuy that matches the description of living spiny rats.,,Terrestrial,None.,Neotropical,presumably following European arrival,1500,false,false,Global,Brotomys voratus,Brotomys voratus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Brotomys,voratus,,,,,"Miller, 1916",,,,Brotomys voratus,Brotomys,272.28,"(:pantheria, :elton_mammal)",Brotomys,272.28,"((:pantheria, :elton_mammal), (:pantheria, :elton_mammal))",,272.28,1493,true,false,-71.262798,18.911325,DOMHT,Dominican Republic; Haiti,West Indies,Hispaniola,gns,-3354585,-71,19,26,29.37,manually,NA,74044.06,715.37,0.367,0,2967,28.1,10.4,1.731,3172,17,2101.84,5627.32,1071.91,4413.46,756.48,0,0,3,2,3,3,2,2,2,2,-0.289,-0.092,0.039,-0.148,-0.135,0.105,-0.133,0.238,-0.401,0.108,-0.572,0.062,-0.423,0.109,0.084,0.082,0.376,-0.187,-0.163,-0.121,0.033,-0.153,-0.384,0.464,0.221,0.306,-0.241
22187167,10034,Hexolobodon phenax,,,,,Extinct,,2018,2018-01-26 00:00:00 UTC,3.1,English,"Listed as Extinct. The species is known from recent fossil deposits which also contain rats, suggesting that it persisted until the modern era and that the extinction followed the arrival of European settlers.",It is not known what habitats this species used.,The reasons for this species becoming Extinct are now known.,No,Yes,"2 Extinction cause specied as unknown, or similar.",This species is now Extinct.,,,West Indies,West Indies,Yes,1492,Hispaniola,1493,Yes,0,1350.1,Yes,Yes,,This species was known from Hispaniola.,,Terrestrial,This rodent is now Extinct.,Neotropical,known only from recent fossil deposits,1493,false,false,Global,Hexolobodon phenax,Hexolobodon phenax,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAPROMYIDAE,Hexolobodon,phenax,,,,,"Miller, 1929",,,,Hexolobodon phenax,Hexolobodon,1350.1,"(:pantheria, :elton_mammal)",Hexolobodon,1350.1,"((:pantheria, :elton_mammal),)",,1350.1,1493,true,false,-71.262798,18.911325,DOMHT,Dominican Republic; Haiti,West Indies,Hispaniola,gns,-3354585,-71,19,26,29.37,manually,NA,74044.06,715.37,0.367,0,2967,28.1,10.4,1.731,3172,17,2101.84,5627.32,1071.91,4413.46,756.48,0,0,3,2,3,3,2,2,2,2,-0.289,-0.092,0.039,-0.148,-0.135,0.105,-0.133,0.238,-0.401,0.108,-0.572,0.062,-0.423,0.109,0.084,0.082,0.376,-0.187,-0.163,-0.121,0.033,-0.153,-0.384,0.464,0.221,0.306,-0.241
22186956,10859,Isolobodon montanus,,,,,Extinct,,2018,2018-01-26 00:00:00 UTC,3.1,English,"This species is listed as Extinct. It is known from recent fossil deposits which also contain rats, suggesting that it persisted until the modern era and that the extinction followed the arrival of European settlers.","The habitats that were used by this species are not known, but it likely occurred in forest habitat.","The reasons for this species becoming Exticnt are not known. However, it was likely due to the introduction of rats.",No,Yes,4 Non-specific threats,This species is now Extinct.,,,West Indies,West Indies,Yes,1492,Hispaniola,1493,Yes,0,1350.1,Yes,Yes,,This species was known from Hispaniola.,,Terrestrial,This rodent is now Extinct.,Neotropical,known only from recent fossil deposits,1493,false,false,Global,Isolobodon montanus,Isolobodon montanus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAPROMYIDAE,Isolobodon,montanus,,,,,"(Miller, 1922)",,,,Isolobodon montanus,Isolobodon,1350.1,"(:pantheria, :elton_mammal)",Isolobodon,1350.1,"((:pantheria, :elton_mammal), (:pantheria, :elton_mammal))",,1350.1,1493,true,false,-71.262798,18.911325,DOMHT,Dominican Republic; Haiti,West Indies,Hispaniola,gns,-3354585,-71,19,26,29.37,manually,NA,74044.06,715.37,0.367,0,2967,28.1,10.4,1.731,3172,17,2101.84,5627.32,1071.91,4413.46,756.48,0,0,3,2,3,3,2,2,2,2,-0.289,-0.092,0.039,-0.148,-0.135,0.105,-0.133,0.238,-0.401,0.108,-0.572,0.062,-0.423,0.109,0.084,0.082,0.376,-0.187,-0.163,-0.121,0.033,-0.153,-0.384,0.464,0.221,0.306,-0.241
22186876,10860,Isolobodon portoricensis,,,,,Extinct,,2018,2018-01-26 00:00:00 UTC,3.1,English,This species is listed as Extinct because it has not been recorded for more than century.,"This species was poorly known, although a wide range of habitats has been reported.","The main threat which led to the decline of this population was probably predation by introduced mongooses and <em>Rattus rattus</em>. Historically the species was hunted by Arawak Indians, however this likely did not lead to the decline of the species as it became extinct following European settlement.",No,Yes,5 Specific description,"MacPhee and Flemming (1999) consider this species to be Extinct. It likely went extinct after 1500 AD (estimated at 1525 AD on Mona Island by Nieves-Rivera and McFarlane 2001) following European settlement, although some reports exist suggesting possible survival to approximately 1800 AD.",,,West Indies,West Indies,Yes,1492,Hispaniola,1493,Yes,0,1350.1,Yes,Yes,,"This species was known from Hispaniola (Haiti and Dominican Republic) and offshore islands. It was introduced to Puerto Rico, Saint Thomas, Saint Croix, and Mona Islands. It was the only known hutia on La Gonave island (Woods and Kilpatrick 2005).",,Terrestrial,This rodent is now Extinct.,Neotropical,extinction estimated in year 1525,1525,false,false,Global,Isolobodon portoricensis,Isolobodon portoricensis,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAPROMYIDAE,Isolobodon,portoricensis,,,,,"Allen, 1916",,,,Isolobodon portoricensis,Isolobodon,1350.1,"(:pantheria, :elton_mammal)",Isolobodon,1350.1,"((:pantheria, :elton_mammal), (:pantheria, :elton_mammal))",,1350.1,1493,true,false,-71.262798,18.911325,DOMHT,Dominican Republic; Haiti,West Indies,Hispaniola,gns,-3354585,-71,19,26,29.37,manually,NA,74044.06,715.37,0.367,0,2967,28.1,10.4,1.731,3172,17,2101.84,5627.32,1071.91,4413.46,756.48,0,0,3,2,3,3,2,2,2,2,-0.289,-0.092,0.039,-0.148,-0.135,0.105,-0.133,0.238,-0.401,0.108,-0.572,0.062,-0.423,0.109,0.084,0.082,0.376,-0.187,-0.163,-0.121,0.033,-0.153,-0.384,0.464,0.221,0.306,-0.241
22281724,14672,Nesophontes hypomicrus,22.5,21-24 g,Woods 2020,,Extinct,,2017,2017-08-23 00:00:00 UTC,3.1,English,"This species is listed as Extinct, and is known only from recent fossil deposits and from recent carbon dates from fossil material.",This was an insectivorous species.,Introduced rats are the most likely cause of the extinction of this species. Remains of this species have been found together with those of <em>Rattus spp.</em> and <em>Mus spp.</em> which were introduced to the island by European ships. The burning of forests for cultivation purposes is also considered to have pushed these species to extinction.,No,Yes,5 Specific description,"The species is known only from skulls and skeletal material found in owl pellets. Recent carbon dates from fossil material, suggest that they persisted until the modern era and their extinction followed the arrival of European settlers.",,,West Indies,West Indies,Yes,1492,Hispaniola,1493,Yes,0,,Yes,Yes,,This species was endemic to Hispaniola.,,Terrestrial,Conservation actions are not applicable to this species as it is already extinct.,Neotropical,Fossil deposit,1493,false,false,Global,Nesophontes hypomicrus,Nesophontes hypomicrus,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,NESOPHONTIDAE,Nesophontes,hypomicrus,,,,,"Miller, 1929",,,,Nesophontes hypomicrus,Nesophontes,,"(:pantheria,)",Nesophontes,,"((:pantheria,), (:pantheria,), (:pantheria,), (:pantheria,), (:pantheria,), (:pantheria,), (:pantheria,), (:pantheria,), (:pantheria,))",,22.5,1493,true,false,-71.262798,18.911325,DOMHT,Dominican Republic; Haiti,West Indies,Hispaniola,gns,-3354585,-71,19,26,29.37,manually,NA,74044.06,715.37,0.367,0,2967,28.1,10.4,1.731,3172,17,2101.84,5627.32,1071.91,4413.46,756.48,0,0,3,2,3,3,2,2,2,2,-0.289,-0.092,0.039,-0.148,-0.135,0.105,-0.133,0.238,-0.401,0.108,-0.572,0.062,-0.423,0.109,0.084,0.082,0.376,-0.187,-0.163,-0.121,0.033,-0.153,-0.384,0.464,0.221,0.306,-0.241
22187847,17462,Plagiodontia ipnaeum,,,,,Extinct,,2018,2018-01-26 00:00:00 UTC,3.1,English,"This species is listed as Extinct. It is known from recent fossil deposits which also contain rats, suggesting that it persisted until the modern era and that the extinction followed the arrival of European settlers.",Nothing is known about its habitat or ecology.,"The reasons for this species becoming Extinct are not known. However, the fossil deposits from which this is known from also contained rat remains. This suggests that the species persisted until the modern era and that the extinction followed the arrival of European settlers.",No,Yes,4 Non-specific threats,This species is now Extinct.,,,West Indies,West Indies,Yes,1492,Hispaniola,1493,Yes,0,1267.0,Yes,Yes,,"The species is known from recent fossil deposits in Hispaniola. It is possible at this species is the animal referred to as ""Quemi"" by Gonzalo Fernandez de Oviedo y Valdes who lived in Hispaniola between 1536-1546 (Miller 1929). There is also a remote possibility that this represents an animal referred to as ""comadreja"" which allegedly survived into the 20th Century (Woods <em>et al.</em> 1985).",,Terrestrial,This rodent is now Extinct.,Neotropical,known only from recent fossil deposits,1493,false,false,Global,Plagiodontia ipnaeum,Plagiodontia ipnaeum,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CAPROMYIDAE,Plagiodontia,ipnaeum,,,,,"Johnson, 1948","<em>Plagiodontia velozi</em> was listed in 1996 as Extinct is considered to be a synonym of <em>P. ipnaeum</em> (see Novak 1999, Woods in Wilson and Reeder 1993).",,,Plagiodontia ipnaeum,Plagiodontia,1267.0,"(:pantheria, :elton_mammal)",Plagiodontia,1267.31,"((:elton_mammal, :pantheria), (:pantheria, :elton_mammal), (:pantheria, :elton_mammal))",,1267.0,1493,true,false,-71.262798,18.911325,DOMHT,Dominican Republic; Haiti,West Indies,Hispaniola,gns,-3354585,-71,19,26,29.37,manually,NA,74044.06,715.37,0.367,0,2967,28.1,10.4,1.731,3172,17,2101.84,5627.32,1071.91,4413.46,756.48,0,0,3,2,3,3,2,2,2,2,-0.289,-0.092,0.039,-0.148,-0.135,0.105,-0.133,0.238,-0.401,0.108,-0.572,0.062,-0.423,0.109,0.084,0.082,0.376,-0.187,-0.163,-0.121,0.033,-0.153,-0.384,0.464,0.221,0.306,-0.241
94248417,22710499,Aplonis mavornata,,,,,Extinct,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This taxon was known from Mauke, Cook Islands, but it is now Extinct due to overpredation by introduced brown rats. The type specimen was taken in 1825, and the species was not found on the next ornithological visit to Mauke in 1975.","Nothing is known, but like other members of the genus it is likely to have inhabited the islands forests.  <p></p>",Its extinction was presumably as a result of predation by introduced rats.  <p></p>,No,Yes,4 Non-specific threats,No extant population remains.,,,Polynesia,Cook Islands,Yes,1821,Mauke,1888,Yes,8702,,Yes,Yes,,"<em>Aplonis mavornata </em>is known only from the type specimen, collected on Mauke, <strong>Cook Islands</strong>,<strong> </strong>by Bloxam in 1825<strong> </strong>(Olson 1986a), and not on Cook's voyages<strong></strong> (Pratt <em>et al</em>. 1987). The island was not visited by ornithologists until nearly 150 years after Bloxam's collection, by which time the species had become extinct<strong> </strong>(Olson 1986a). <p></p>",,Terrestrial,,Oceanian,1825,1825,false,false,Global,Aplonis mavornata,Aplonis mavornata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Aplonis,mavornata,,,,,"Buller, 1887",,,,Aplonis mavornata,Aplonis,,,,74.38121232308677,"((:avonet, :elton_bird), (:elton_bird, :avonet, :frugivores), (:avonet, :elton_bird, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores), (:avonet, :elton_bird, :frugivores), (:avonet,), (:avonet, :elton_bird), (:avonet, :elton_bird, :frugivores), (:avonet, :elton_bird), (:frugivores,), (:avonet, :elton_bird, :frugivores, :frugivores, :frugivores, :frugivores), (:elton_bird, :avonet, :frugivores), (:elton_bird, :avonet), (:elton_bird, :avonet, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores), (:avonet, :elton_bird), (:avonet, :elton_bird), (:elton_bird, :avonet), (:avonet, :elton_bird), (:avonet, :elton_bird), (:avonet, :elton_bird), (:elton_bird, :avonet), (:avonet, :elton_bird, :frugivores), (:avonet, :elton_bird, :frugivores, :frugivores, :frugivores), (:elton_bird, :avonet, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores))",,74.38121232308677,1888,true,false,-157.341429,-20.16117,COK,Cook Islands,Cook Islands,Mauke,gns,-1204749,-157.341667,-20.158333,1,0.32,inside,NA,20.42,5025.8,0.187,0,29,24.9,8.9,4.497,1955,39,1845.96,101.4,16.23,54.65,7.41,0,0,3,3,3,4,2,2,2,3,-0.281,-0.177,-0.105,-0.007,-0.11,-0.184,-0.135,0.038,-0.295,0.186,0.048,0.113,0.025,-0.086,0.077,0.196,0.167,-0.02,-0.114,-0.021,-0.09,0.028,-0.307,-0.067,-0.1,0.159,-0.087
119212332,22734867,Aplonis ulietensis,,,,,Extinct,,2017,2016-10-01 00:00:00 UTC,3.1,English,"This Extinct species is known only from a 1774 painting of the type specimen, contemporary descriptions and a few field notes. It occurred on Raiatea (French Polynesia).","Unknown, though referred to as occurring in 'thickets' on the island.",It is assumed that the arrival of introduced species such as rats were the cause of the extinction of the species.,No,Yes,4 Non-specific threats,Any population appears to have been lost prior to 1850.,,,Polynesia,Society Islands,Yes,1843,Raiatea,1888,Yes,9190,,Yes,Yes,,"This Extinct species is known only from a 1774 painting of the type  specimen, contemporary descriptions and a few field notes. It occurred  on Raiatea (<strong>French Polynesia</strong>). An expedition to the island in 1850 failed to find the species, and it likely became extinct between 1774-1850 following the arrival of rats on the island.",,Terrestrial,,Oceanian,1812,1812,false,false,Global,Aplonis ulietensis,Aplonis ulietensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Aplonis,ulietensis,,,,,"(Gmelin, 1788)",<p><em>Aplonis ulietensis </em>(del Hoyo and Collar 2016) is recognised as a species following the work of Hume and Walters (2012).</p>,,,Aplonis ulietensis,Aplonis,,,,74.38121232308677,"((:avonet, :elton_bird), (:elton_bird, :avonet, :frugivores), (:avonet, :elton_bird, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores), (:avonet, :elton_bird, :frugivores), (:avonet,), (:avonet, :elton_bird), (:avonet, :elton_bird, :frugivores), (:avonet, :elton_bird), (:frugivores,), (:avonet, :elton_bird, :frugivores, :frugivores, :frugivores, :frugivores), (:elton_bird, :avonet, :frugivores), (:elton_bird, :avonet), (:elton_bird, :avonet, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores), (:avonet, :elton_bird), (:avonet, :elton_bird), (:elton_bird, :avonet), (:avonet, :elton_bird), (:avonet, :elton_bird), (:avonet, :elton_bird), (:elton_bird, :avonet), (:avonet, :elton_bird, :frugivores), (:avonet, :elton_bird, :frugivores, :frugivores, :frugivores), (:elton_bird, :avonet, :frugivores, :frugivores, :frugivores, :frugivores, :frugivores))",,74.38121232308677,1888,true,false,-151.436886,-16.822012,PYF,French Polynesia,Society Islands,Raiatea,gns,-1311191,-151.416667,-16.833333,8,2.49,insideclosest,Tahu-Naoe; Motu Nuutere; Tiano; Torea; Horea; Motu Tapute; Motu Roa,173.62,5742.56,0.208,0,906,26.5,7.6,1.395,2701,38,1845.96,200.02,40.23,183.81,37.22,0,0,3,3,3,3,2,2,2,4,-0.325,-0.135,-0.084,-0.149,-0.099,-0.117,-0.087,0.087,-0.383,0.146,-0.206,0.108,0.108,-0.054,0.054,0.1,0.122,-0.108,-0.151,-0.038,-0.003,0.005,-0.369,0.147,-0.113,0.056,-0.064
94993704,22728673,Cyanoramphus ulietanus,,,,,Extinct,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species was known from the island of Raiatea, French Polynesia, but it is now Extinct, probably as a result of habitat clearance or the action of invasive species. Two specimens were collected in 1773 and its extinction likely followed.","It was presumably a forest species, as this was the native vegetation of all of the Society Islands<strong> </strong>(Forshaw and Cooper 1989).  <p></p>","Its extinction was probably the result of the clearance of the islands' forests, hunting, or predation by introduced species<strong> </strong>(Forshaw and Cooper 1989). <p></p>",Yes,Yes,4 Non-specific threats,No extant population remains.,,,Polynesia,Society Islands,Yes,1843,Raiatea,1888,Yes,9190,,Yes,Yes,,"<em>Cyanoramphus ulietanus </em>is only known from two specimens from Raiatea, <strong>French Polynesia</strong> (Forshaw and Cooper 1989), collected on Cook's voyage in 1773, and now in Vienna and Tring<strong> </strong>(Knox and Walters 1994).  <p></p>",,Terrestrial,,Oceanian,1773,1773,false,false,Global,Cyanoramphus ulietanus,Cyanoramphus ulietanus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Cyanoramphus,ulietanus,,,,,"(Gmelin, 1788)",,,,Cyanoramphus ulietanus,Cyanoramphus,,,,86.00809523809524,"((:avonet, :elton_bird), (:elton_bird,), (:avonet, :elton_bird), (:avonet, :elton_bird), (:avonet, :elton_bird, :frugivores), (:elton_bird,), (:avonet, :elton_bird))",,86.00809523809524,1888,true,false,-151.436886,-16.822012,PYF,French Polynesia,Society Islands,Raiatea,gns,-1311191,-151.416667,-16.833333,8,2.49,insideclosest,Tahu-Naoe; Motu Nuutere; Tiano; Torea; Horea; Motu Tapute; Motu Roa,173.62,5742.56,0.208,0,906,26.5,7.6,1.395,2701,38,1845.96,200.02,40.23,183.81,37.22,0,0,3,3,3,3,2,2,2,4,-0.325,-0.135,-0.084,-0.149,-0.099,-0.117,-0.087,0.087,-0.383,0.146,-0.206,0.108,0.108,-0.054,0.054,0.1,0.122,-0.108,-0.151,-0.038,-0.003,0.005,-0.369,0.147,-0.113,0.056,-0.064
95052074,22732936,Pomarea nukuhivae,,,,,Extinct,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species was endemic to the island of Nuku Hiva, French Polynesia, but it has been driven Extinct by habitat changes and introduced predators. The last records date from the 1930s; a survey in 1972 failed to locate it.",This mainly insectivorous species occurred in forested valleys at high elevations and in degraded forest at all altitudes (probably originally preferring lowland forests which are now destroyed).  <p></p>,"All the Marquesas Islands have been devastated by intense grazing and fire, and much of the original dry forest has been reduced to grassland, and upland forest to relict forest patches. Introduced species are also likely to have played a role in the species's demise, especially black rat <em>Rattus rattus.</em> <p></p>",No,Yes,4 Non-specific threats,None believed to remain.,,,Polynesia,Marquesas,Yes,1813,Nuku Hiva,1842,Yes,9773,,Yes,Yes,,"<em>Pomarea nukuhivae</em> was formerly endemic to the island of Nuku Hiva in the Marquesas Islands, <strong>French Polynesia</strong>. It was considered not common in 1922 and rare in the 1930s, the last confirmed sightings. It was not seen in 1972 or 1975 despite several weeks of intensive searches. There were unconfirmed sightings in 1975 by two hunters of a passerine bird matching this species's description, but the species was not seen 1997 or 1999<strong> </strong><strong></strong>(Thibault and Meyer 2001) and is considered extinct. <em> <p></p></em>",,Terrestrial,,Oceanian,1951,1951,false,false,Global,Pomarea nukuhivae,Pomarea nukuhivae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Pomarea,nukuhivae,,,,,"Murphy & Mathews, 1928",,,,Pomarea nukuhivae,Pomarea,,,,29.0,"((:avonet, :elton_bird), (:avonet, :elton_bird), (:avonet, :elton_bird), (:avonet,), (:avonet, :elton_bird), (:avonet, :elton_bird))",,29.0,1842,true,false,-140.139322,-8.866239,PYF,French Polynesia,Marquesas,Nuku Hiva,gns,-1310756,-140.1,-8.9,2,5.72,insideclosest,Poiku,346.62,4804.89,0.218,0,1089,26.5,7.0,0.686,1859,25,1576.53,166.18,28.88,152.53,27.97,0,1,3,3,3,3,2,2,2,4,-0.315,-0.16,-0.086,-0.117,-0.288,-0.1,0.033,0.087,-0.379,0.173,-0.258,0.121,-0.004,-0.177,0.173,0.132,0.007,-0.102,-0.123,-0.07,-0.146,0.004,-0.374,0.184,-0.08,0.084,-0.082
